efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,ss noise,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,noise_flag,e_C_independent_flag,e_l,TV
0.5280435563115154,-0.0026752226470203744,4.2644662528047315,1.6473559872238526,0.05558941471696305,0.09090909090909093,0.2325700657601588,0.0027531207925492514,3,0.11,0.1,0.027522935779816515,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.009999999999999995,-3
0.5317634402791956,-0.0002726370984259662,14.343872689105797,0.2355113595266808,0.35165843811738984,0.4291338582677165,0.06958460325462766,0.00030756146903597383,3,0.17517241379310344,0.1,0.044069168931814236,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.07517241379310344,-3
0.5330141788231447,-9.545893572154946e-06,20.461942831612074,-1.1842592366365958,0.48327628463698125,0.5839311334289814,0.04881930834603332,3.5209320801017215e-05,3,0.2403448275862069,0.1,0.06079725525542989,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.1403448275862069,-3
0.5331456753048284,7.476824671327016e-06,29.38409833373452,-2.6058476086563367,0.5062272597276317,0.6726862302483071,0.03401269643475133,1.0885301467996628e-05,3,0.3055172413793103,0.1,0.07771020933224183,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.2055172413793103,-3
0.5331594008221083,6.2855046645715924e-06,42.896573606238434,-4.02882451737905,0.4658058653884354,0.7302325581395348,0.023305227945084366,6.54273026061022e-06,3,0.37068965517241376,0.1,0.09481111274437745,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.2706896551724137,-3
0.5331607544357388,4.392612902988012e-06,63.38357239846465,-5.451230853428869,0.3966703141630768,0.7705696202531646,0.015774791618845665,4.41180979033572e-06,3,0.4358620689655172,0.1,0.11210311594631346,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.3358620689655172,-3
0.5331608304048178,2.982512966062019e-06,94.44897887530506,-6.872002986395338,0.3209697916591346,0.8004129387474191,0.010587049650865505,2.9838943601216413e-06,3,0.5010344827586206,0.1,0.12958944019977997,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.40103448275862064,-3
0.5331608004469921,2.0037052052849344e-06,141.55674924782556,-8.291190603393368,0.250623367440191,0.8233861144945188,0.007064098821844596,2.003780562387366e-06,3,0.5662068965517241,0.1,0.1472733795742645,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.4662068965517241,-3
0.5331607777828945,1.3377130165907349e-06,212.9925804215717,-9.709329845003987,0.19070760562091799,0.8416166029492081,0.004694937874632322,1.3377035585520996e-06,3,0.6313793103448275,0.1,0.16515830301572504,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.5313793103448275,-3
0.5331607660080302,8.894002493194525e-07,321.32132229365976,-11.126962146308479,0.14234622579702289,0.8564356435643564,0.003112131471251885,8.893909859609678e-07,3,0.696551724137931,0.1,0.1832476564862413,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.596551724137931,-3
