A,B,EV
(4.050385633817214e-06+1.0562804694305737e-17j),(-0.016876651736268004+1.1434429486675475e-16j),(-1.995923163820955-1.2629032147619165e-15j)
(-4.3637363898771055e-17-1.0861527072316351e-16j),(1.1896876385670065e-16-7.324038750350528e-17j),(-1.891114417632973+0.2696017326667392j)
(1.6654327134355214e-16+7.367956522817464e-17j),(2.2260238594358885e-16-1.645431957064894e-16j),(-1.891114417632965-0.2696017326667388j)
(-7.60038335459878e-17+2.2620302978940634e-16j),(3.133493767226669e-16+2.9747277882907154e-16j),(-1.8222871576917044-1.1713408564496457j)
(-3.93537933025804e-17-1.8295435719273984e-16j),(2.7084754904327265e-16-4.939580486263399e-16j),(-1.8222871576916901+1.1713408564496448j)
(-5.276100244540802e-17-9.457543274966684e-17j),(4.4146981566918685e-16-5.157118385051518e-18j),(-1.8171743081196687-1.440000000000003j)
(-1.2496385074522548e-17-2.8408491025199487e-18j),(-1.9121076369699534e-16+7.13407645135822e-17j),(-1.8171743081196685+1.4400000000000022j)
(4.994127168320519e-05-8.336284628551535e-17j),1.6785533844130905e-16j,(-1.8171743081196603-5.780144601998677e-16j)
(-8.873070574273144e-17+2.1291906829696068e-17j),(-7.783824963154464e-16+8.976495812521421e-16j),(-1.7361350751379736+0.3299099125678492j)
(-5.202493418361046e-18-1.5209267325970242e-16j),(-3.0655430012793607e-16-2.5105964876715915e-16j),(-1.7361350751379672-0.3299099125678523j)
(-1.4122341216149688e-16-2.481764243687161e-17j),(1.7330532009807277e-16-8.718664177781421e-16j),(-1.7343510307272811+0.5532186565699284j)
(-7.226990193387457e-17-6.98657670466545e-17j),(-5.348782248970973e-16-2.7678424662183985e-16j),(-1.734351030727281-0.5532186565699333j)
(3.42493473427021e-05-2.8271377605944185e-16j),(-0.042722822911095706-8.617925683970763e-17j),(-1.7266699949856388-1.595329298356476e-16j)
(3.586313563142313e-17-1.6522104884779372e-17j),(-1.1042628175731613e-15-1.5292669553453013e-16j),(-1.6386084246930996-0.07342834505480561j)
(1.439258581639987e-17-8.131445069869018e-17j),(5.872764619870327e-16-2.5129078887121907e-16j),(-1.6386084246930674+0.07342834505480655j)
(-2.2097158876197174e-17-3.289913141933879e-17j),(1.398141635312821e-16-3.5315324645099243e-16j),(-1.630222454366124+0.8206574273624831j)
(7.335361272939185e-17+3.5713560068219956e-17j),(-9.046658488070129e-16+1.0162080664817584e-15j),(-1.630222454366123-0.8206574273624885j)
(4.6496011609430846e-17-7.090991943450974e-17j),(-4.488717288047274e-16-4.290289144715243e-16j),(-1.6203317805097028-0.28771613167866184j)
(-1.1640895628941932e-18-6.646596499947294e-17j),(-7.342277761696951e-17-3.611358776964013e-16j),(-1.6203317805097022+0.2877161316786664j)
(1.6758981709539367e-18+9.202034734012794e-18j),(2.1138274788997247e-16+1.1317617173954928e-16j),(-1.618730311900007+0.5904757082253049j)
(1.2439484567313324e-16-6.403861438781215e-17j),(-1.919070997032868e-16-8.330260091572187e-17j),(-1.6187303118999903-0.5904757082253023j)
(8.438033545630092e-17-1.280059314142338e-16j),(-2.6565586158424235e-16-5.690471490898934e-16j),(-1.5771043868238488+1.5454869099188897j)
(-1.626915876664146e-16+1.0305619776678266e-17j),(-3.149251457856942e-17+1.2005531877404978e-16j),(-1.5771043868238357-1.5454869099188786j)
(1.5057139449966283e-17+5.0050303383665305e-17j),(4.890880256943076e-16+3.4661307732423e-16j),(-1.569038822357389+0.588297522244324j)
(8.337974678030376e-17-4.2105703434997066e-17j),(4.0739339510545584e-16+1.1739960486821614e-15j),(-1.5690388223573857-0.5882975222443306j)
(1.0546445154533218e-16-6.73338200335031e-17j),(1.2384902585832157e-16-3.855124337748362e-16j),(-1.555127285895395-0.32532378006991525j)
(-8.874444053913137e-18+2.4276709341022338e-17j),(1.0360082697769136e-15-2.392766790460473e-16j),(-1.5551272858953882+0.32532378006991636j)
(1.407629964987828e-18-9.047953382793019e-17j),(2.8756932216726984e-17+1.3707264872292414e-16j),(-1.554728800581195-1.9988179282756189j)
(3.4215049907523675e-17-6.649084333026521e-18j),(-2.2620358363074484e-16+3.964433638503851e-17j),(-1.5547288005811928+1.9988179282756173j)
(-2.624556807647885e-17-1.6982163221332682e-17j),(-4.3451726337270194e-16-2.24676621403215e-16j),(-1.5547288005811908+0.8811820717243913j)
(-1.593665094862014e-17+4.140450213636181e-18j),(8.004897495582648e-17-8.719196936735182e-16j),(-1.5547288005811828-0.8811820717243862j)
(1.8369739735148956e-17+1.0198731403282993e-18j),(-5.702350987495435e-19-2.127378125596182e-16j),(-1.553436961942157+1.1165595605577836j)
(1.1675197060334238e-17+4.0505008669413165e-17j),(-3.016652973011434e-17-1.1923462896571031e-16j),(-1.5534369619421402+1.763440439442241j)
(1.9784668404509182e-17-8.896356254458884e-19j),(-1.2036259239075018e-16-9.716333618843414e-17j),(-1.5534369619421364-1.763440439442226j)
(-1.9150172284347915e-16+6.800700991238052e-17j),(2.968391106701227e-16+2.4692667765859315e-17j),(-1.5534369619421315-1.1165595605577716j)
(1.4967773704897266e-17-1.115198042590337e-16j),(2.3788736015936197e-16+8.779210849096464e-16j),(-1.552211407661059+0.5536245298615549j)
(-2.8092347766254305e-17+3.816592666218824e-18j),(6.690772367147755e-16-8.716528569409532e-17j),(-1.5522114076610527-0.5536245298615556j)
